,city id,city,country,latitude,longitute,temperature(C),humidity(%),wind speed(mps),cloud(%),receive date
0,2074865,Carnarvon,AU,-24.8667,113.6333,18.63,52,7.07,0,22-07-2022 20:52:31
1,2377457,Nouadhibou,MR,20.931,-17.0347,25.99,83,3.6,7,22-07-2022 20:52:31
2,373303,Juba,SS,4.8517,31.5825,33.09,40,1.89,31,22-07-2022 20:52:32
3,3466980,Caravelas,BR,-17.7125,-39.2481,22.54,85,1.34,54,22-07-2022 20:52:33
4,3598462,Chiquimulilla,GT,14.0858,-90.3767,21.28,91,1.98,98,22-07-2022 20:52:34
5,4030556,Rikitea,PF,-23.1203,-134.9692,22.38,75,5.21,100,22-07-2022 20:52:34
6,1651810,Airai,TL,-8.9266,125.4092,13.0,80,0.97,68,22-07-2022 20:52:36
7,4020109,Atuona,PF,-9.8,-139.0333,24.82,75,6.29,0,22-07-2022 20:52:36
8,3652764,Puerto Ayora,EC,-0.7393,-90.3518,18.64,99,0.45,86,22-07-2022 20:52:37
9,1852357,Shimoda,JP,34.6667,138.95,26.72,82,6.71,3,22-07-2022 20:52:38
10,4513583,Hamilton,US,39.1834,-84.5333,21.07,90,0.45,0,22-07-2022 20:52:20
11,3500957,La Romana,DO,18.4273,-68.9728,25.33,89,3.75,83,22-07-2022 20:52:39
12,2282006,San-Pédro,CI,4.7485,-6.6363,26.96,60,3.11,94,22-07-2022 20:52:40
13,4726521,San Patricio,US,28.017,-97.5169,26.45,84,3.83,27,22-07-2022 20:52:40
14,1106677,Bambous Virieux,MU,-20.3428,57.7575,23.14,68,6.69,75,22-07-2022 20:52:41
15,3835869,Santiago del Estero,AR,-27.7951,-64.2615,14.48,76,3.67,0,22-07-2022 20:51:12
16,1623197,Tual,ID,-5.6667,132.75,25.76,73,7.01,91,22-07-2022 20:52:42
17,1626542,Sorong,ID,-0.8833,131.25,25.95,86,6.47,80,22-07-2022 20:52:43
18,1735106,George Town,MY,5.4112,100.3354,30.01,78,4.12,20,22-07-2022 20:49:33
19,3691954,Sechura,PE,-5.5569,-80.8222,16.02,88,3.44,5,22-07-2022 20:52:44
20,3985710,Cabo San Lucas,MX,22.8909,-109.9124,28.12,74,6.09,2,22-07-2022 20:52:45
21,3899539,Antofagasta,CL,-23.65,-70.4,13.6,88,1.5,89,22-07-2022 20:52:46
22,3573374,The Valley,AI,18.217,-63.0578,26.95,71,10.11,59,22-07-2022 20:52:46
23,3462601,Gandu,BR,-13.7439,-39.4867,20.17,91,1.45,59,22-07-2022 20:52:47
24,1831166,Kampong Chhnang,KH,12.1667,104.55,29.76,70,1.5,72,22-07-2022 20:52:48
25,6255012,Flinders,AU,-34.5833,150.8552,13.55,86,2.68,81,22-07-2022 20:52:49
26,5855927,Hilo,US,19.7297,-155.09,21.81,94,2.57,40,22-07-2022 20:52:49
27,3480908,La Asuncion,VE,11.0333,-63.8628,30.85,74,3.6,32,22-07-2022 20:52:50
28,1636426,Manggar,ID,-2.8833,108.2667,27.23,79,2.58,100,22-07-2022 20:52:51
